"가계수지항목별",2019.1/4,2019.1/4,2019.1/4,2019.2/4,2019.2/4,2019.2/4,2019.3/4,2019.3/4,2019.3/4,2019.4/4,2019.4/4,2019.4/4,2020.1/4,2020.1/4,2020.1/4,2020.2/4,2020.2/4,2020.2/4,2020.3/4,2020.3/4,2020.3/4,2020.4/4,2020.4/4,2020.4/4,2021.1/4,2021.1/4,2021.1/4,2021.2/4,2021.2/4,2021.2/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2023.1/4,2023.1/4,2023.1/4,2023.2/4,2023.2/4,2023.2/4,2023.3/4,2023.3/4,2023.3/4,2023.4/4,2023.4/4,2023.4/4,2024.1/4,2024.1/4,2024.1/4,2024.2/4,2024.2/4,2024.2/4,2024.3/4,2024.3/4,2024.3/4,2024.4/4,2024.4/4,2024.4/4,2025.1/4,2025.1/4,2025.1/4,2025.2/4,2025.2/4,2025.2/4,2025.3/4,2025.3/4,2025.3/4,2025.4/4,2025.4/4,2025.4/4,2026.1/4,2026.1/4,2026.1/4
"가계수지항목별",전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구,전체가구,근로자가구,근로자외가구
"가구원수",2.42,2.61,2.18,2.41,2.56,2.19,2.42,2.56,2.22,2.42,2.55,2.22,2.40,2.53,2.22,2.40,2.52,2.25,2.40,2.52,2.24,2.39,2.49,2.25,2.37,2.49,2.22,2.37,2.48,2.21,2.37,2.47,2.22,2.36,2.47,2.22,2.33,2.44,2.18,2.33,2.43,2.18,2.33,2.43,2.17,2.33,2.44,2.16,2.27,2.39,2.09,2.27,2.38,2.10,2.27,2.39,2.08,2.28,2.39,2.10,2.26,2.36,2.10,2.25,2.35,2.11,2.25,2.35,2.10,2.26,2.34,2.13,2.20,2.27,2.09,2.19,2.27,2.06,2.18,2.27,2.04,2.19,2.26,2.06,2.16,2.23,2.07
"가구주연령",52.20,46.71,59.57,52.15,47.60,58.90,52.03,47.17,58.99,52.08,47.30,59.08,52.43,47.13,59.55,52.42,47.40,59.17,52.46,47.37,59.62,52.47,47.62,59.40,52.84,47.50,59.87,52.66,48.42,58.88,52.62,48.17,59.17,52.67,47.81,59.68,52.35,47.08,59.81,52.30,47.65,59.19,52.27,47.86,59.05,52.27,47.73,59.56,52.73,47.73,60.41,52.74,48.37,59.44,52.72,48.37,59.44,52.77,48.34,59.90,53.16,48.72,59.97,53.09,48.80,59.61,53.04,48.65,59.75,52.95,48.66,59.87,53.44,48.53,60.92,53.45,49.11,60.07,53.36,49.08,60.01,53.36,48.93,60.11,53.68,48.79,60.70
"가구분포",100.00,57.28,42.72,100.00,59.72,40.28,100.00,58.87,41.13,100.00,59.41,40.59,100.00,57.32,42.68,100.00,57.32,42.68,100.00,58.44,41.56,100.00,58.84,41.16,100.00,56.80,43.20,100.00,59.52,40.48,100.00,59.54,40.46,100.00,59.03,40.97,100.00,58.60,41.40,100.00,59.73,40.27,100.00,60.62,39.38,100.00,61.59,38.41,100.00,60.54,39.46,100.00,60.55,39.45,100.00,60.68,39.33,100.00,61.70,38.30,100.00,60.49,39.51,100.00,60.26,39.74,100.00,60.40,39.60,100.00,61.72,38.29,100.00,60.38,39.62,100.00,60.37,39.63,100.00,60.82,39.18,100.00,60.42,39.58,100.00,58.88,41.12
"소득",4271911,5219758,3000893,4168865,4890840,3098305,4301979,5009750,3288868,4284972,4834230,3481096,4366070,5276492,3143146,4315385,5032809,3352037,4377301,5082240,3386126,4361723,4928143,3552108,4383813,5290038,3192094,4286962,5012008,3220820,4728905,5460932,3651827,4642311,5268864,3739680,4825037,5669470,3629796,4831061,5279701,4165507,4868667,5510040,3881281,4833575,5464131,3822462,5053853,6055393,3517428,4792979,5483638,3732959,5032739,5811238,3831610,5023719,5648068,4018064,5122127,6078343,3657940,4961284,5702073,3838092,5255452,6046923,4048437,5214982,5804612,4264521,5351018,6313175,3884657,5064616,5808547,3931344,5438792,6228255,4213371,5421918,6110337,4370979,5480864,6454647,4086348
"　경상소득",4187631,5142679,2906957,4111302,4845590,3022483,4247403,4950467,3241031,4214941,4759726,3417611,4253196,5168985,3023063,4244221,4963305,3278645,4307546,5012952,3315715,4280242,4856110,3457124,4300458,5204857,3111140,4207908,4921512,3158590,4666109,5395464,3592964,4539211,5150188,3659019,4736658,5590495,3528108,4739277,5200760,4054671,4788007,5447181,3773217,4738128,5380940,3707364,4940914,5938079,3411200,4712694,5400730,3656698,4970627,5753100,3763365,4924597,5545250,3924893,5041000,5980607,3602247,4873243,5616249,3746689,5153633,5932903,3965223,5103852,5692359,4155202,5252735,6207272,3797987,4964134,5706432,3833348,5332279,6129058,4095501,5314673,6001894,4265562,5376904,6344871,3990717
"　　근로소득",2767115,4448305,512720,2715584,4196454,519716,2790651,4330233,586877,2726397,4186904,588846,2815578,4472808,589503,2576278,4088525,545652,2781474,4353933,570528,2738479,4232765,602616,2778016,4494651,520581,2742538,4233273,550490,2954059,4561910,588326,2893183,4480990,605737,3062287,4810484,587827,2886684,4412904,622552,3114403,4722605,638596,3120910,4690177,604553,3326425,5102737,601452,3027938,4602523,611272,3223060,4933870,583486,3166616,4787978,555043,3291013,5075567,558451,3146474,4809675,624711,3328503,5060686,686876,3240830,4844899,655132,3411581,5241772,622306,3194225,4872042,638310,3366567,5114556,653299,3368695,5147090,653799,3422010,5342707,671455
"　　사업소득",774345,191951,1555308,833315,228785,1729726,852757,194634,1794801,975135,223173,2075684,779417,200896,1556516,778438,174370,1589574,853418,183657,1795132,937250,219491,1963181,767065,176757,1543340,806440,209729,1683872,884788,206460,1882855,1018136,236219,2144590,862489,213118,1781631,926706,241112,1943777,991030,244283,2140639,1017988,278584,2203641,803838,238229,1671517,927184,269498,1936598,983594,275461,2076157,1034578,258275,2284990,875465,223360,1873988,939895,230915,2014857,986963,265377,2087401,1091331,291745,2380232,901817,228092,1928597,941308,240541,2008826,989046,253003,2131549,1123535,266345,2432120,925113,208941,1950714
"　　재산소득",34095,30432,39008,45210,50009,38093,27562,16253,43749,25145,15664,39022,38012,30209,48495,26511,16474,39989,31059,24478,40313,24915,16748,36589,32548,24182,43550,42347,44541,39120,23624,20017,28932,25880,19845,34576,31892,21990,45907,32650,24896,44154,30414,22008,43354,28874,20162,42843,37703,26895,54283,39778,26128,60727,35427,26931,48535,52049,38975,73107,56572,50069,66530,51528,41475,66769,53780,43530,69412,62422,48123,85470,60093,48564,77666,55455,39840,79243,53341,41003,72492,56838,34613,90766,65554,36993,106456
"　　이전소득",612075,471991,799921,517194,370343,734948,576434,409348,815604,488263,333985,714060,620189,465071,828550,862994,683937,1103430,641594,450884,909742,579598,387105,854738,722829,509267,1003669,616584,433970,885108,803638,607076,1092851,602012,413133,874117,779991,544902,1112743,893237,521848,1444189,652161,458286,950629,570356,392017,856327,772948,570218,1083948,717793,502580,1048101,728546,516838,1055187,671354,460022,1011752,817950,631611,1103277,735347,534184,1040351,784387,563310,1121535,709270,507591,1034368,879243,688844,1169419,773146,554009,1106970,923325,720496,1238161,765605,553846,1088877,964227,756230,1262093
