"도시별","지출목적별","항목","단위","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"전국","0 총지수","소비자물가지수[2020=100]","2020=100","9.473","10.925","12.029","13.768","16.29","20.965","25.442","27.271","28.204","28.845","29.555","30.368","31.293","33.53","35.441","38.48","42.071","44.685","46.831","49.765","51.995","54.555","56.977","61.258","61.756","63.151","65.719","67.534","69.908","72.418","74.413","76.081","78.01","81.656","83.906","86.373","89.85","91.815","93.01","94.196","94.861","95.783","97.645","99.086","99.466","100","102.5","107.72","111.59","114.18","116.61",
"전국","01 식료품 및 비주류음료","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","20.757","21.211","21.866","24.174","25.661","28.189","31.287","32.936","33.932","37.392","38.524","39.686","41.266","45.433","47.497","47.894","50.336","52.759","55.212","59.67","61.523","61.846","63.394","66.532","71.573","76.162","82.363","85.626","86.36","86.612","88.041","90.073","93.134","95.717","95.762","100","105.89","112.15","118.29","122.87","126.86",
"전국","02 주류 및 담배","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","22.291","22.862","23.172","23.644","24.838","26.165","27.088","28.474","30.157","33.144","33.88","36.979","39.396","41.917","44.635","45.005","47.243","50.75","52.164","52.757","60.594","60.472","60.72","61.043","61.735","61.987","62.468","63.402","64.46","64.413","96.674","97.338","98.805","99.063","99.682","100","100.43","102.62","103.63","104.56","104.82",
"전국","03 의류 및 신발","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","32.936","33.699","34.89","37.67","42.61","46.772","49.376","52.435","54.185","55.494","56.425","57.093","58.048","60.371","61.405","62.318","64.161","66.165","68.497","68.716","69.406","71.262","73.165","75.039","78.839","81.153","83.852","87.862","90.431","94.06","95.317","97.029","98.082","99.169","99.27","100","100.56","103.71","110.66","114.34","116.57",
"전국","04 주택, 수도, 전기 및 연료","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","31.233","32.05","32.831","34.008","35.431","38.163","42.434","45.461","47.894","49.844","51.961","54.438","57.201","61.379","59.517","61.707","65.378","67.172","70.024","72.302","73.678","75.791","77.485","80.85","81.753","83.695","87.475","91.499","94.735","97.451","96.827","96.038","97.666","98.354","99.488","100","101.63","107.19","112.63","114.5","116.34",
"전국","05 가정용품 및 가사 서비스","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","44.31","45.395","46.891","49.642","53.007","56.264","59.372","61.318","63.283","65.491","66.74","68.03","68.291","72.25","71.333","69.548","70.852","71.531","72.985","73.518","73.941","74.095","76.03","79.376","82.894","83.185","86.269","88.743","88.98","90.872","93.225","94.673","95.712","97.875","99.967","100","101.87","106.78","112.56","114.82","118.12",
"전국","06 보건","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","36.279","37.654","38.951","41.678","42.927","46.125","49.061","50.618","52.047","53.901","56.846","59.461","61.915","65.183","66.14","71","79.076","78.644","80.401","81.555","83.36","85","86.48","88.147","90.064","91.64","93.252","94.106","94.443","95.108","96.298","97.247","98.109","98.058","98.516","100","99.92","100.76","102.4","104.34","105.53",
"전국","07 교통","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","27.743","28.196","28.717","30.219","31.186","31.983","35.498","38.843","42.15","45.357","48.184","51.774","56.769","66.33","67.852","70.871","73.665","74.397","77.396","80.107","84.129","88.02","91.153","99.173","95.661","100.348","107.373","110.852","110.267","108.496","99.99","97.775","101.277","103.727","101.867","100","106.33","116.68","112.7","114.25","115.79",
"전국","08 통신","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","156.966","166.225","169.102","169.076","150.886","160.889","155.19","154.881","153.997","150.149","146.66","146.049","141.784","141.54","140.843","137.593","133.247","127.25","120.681","118.8","116.621","115.125","112.812","111.179","110.994","109.981","108.203","105.419","105.282","105.217","105.017","105.105","105.41","104.507","102.112","100","99.1","100.02","101.04","101.3","100.32",
"전국","09 오락 및 문화","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","64.869","66.21","67.614","70.101","71.912","75.285","78.064","80.047","83.472","85.561","88.673","92.124","92.945","96.121","96.077","95.086","94.746","95.324","95.713","95.633","95.728","93.454","91.843","93.199","95.362","96.199","97.714","97.964","98.968","99.392","98.906","100.729","100.781","101.272","101.023","100","100.43","103.29","107.07","108.58","109.81",
"전국","10 교육","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","17.446","18.22","19.265","21.081","22.991","26.028","28.75","31.825","35.123","38.461","43.581","48.487","51.973","53.862","54.563","57.321","59.928","63.282","67.022","70.737","73.717","77.28","81.9","86.373","88.535","90.539","92.101","93.406","94.504","95.893","97.54","99.135","100.272","101.645","102.178","100","100.87","102.23","104.23","106.01","108.42",
"전국","11 음식 및 숙박","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","21.445","22.44","23.427","25.615","29.5","33.583","40.163","44.229","46.703","49.869","52.614","55.56","57.498","60.379","59.849","60.375","61.431","63.509","65.833","68.309","69.949","71.307","72.63","76.11","79.03","80.874","84.331","85.342","86.666","87.923","89.974","92.232","94.441","97.292","99.061","100","102.73","110.53","117.16","120.77","124.5",
"전국","12 기타 상품 및 서비스","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","33.696","35.196","36.218","36.889","36.973","38.257","40.533","42.085","43.775","45.433","46.899","49.636","51.898","56.584","55.365","56.062","58.299","60.219","61.728","62.975","63.877","67.198","70.514","76.876","82.14","85.027","87.776","84.908","85.302","87.932","90.271","93.378","95.967","96.533","98.082","100","102","108.27","114.56","119.25","124.63",
"서울특별시","0 총지수","소비자물가지수[2020=100]","2020=100","9.403","10.854","11.967","13.684","16.158","20.782","25.208","27.061","28.013","28.627","29.336","30.116","31.123","33.255","35.11","38.225","41.948","44.319","46.517","49.323","51.234","53.403","55.653","59.803","60.298","61.828","64.512","66.64","69.18","71.874","73.755","75.279","77.252","80.466","82.838","85.162","88.412","90.605","91.869","93.3","94.47","95.585","97.494","98.799","99.382","100","102.1","106.69","110.88","113.5","115.79",
"서울특별시","01 식료품 및 비주류음료","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","21.291","21.712","22.59","24.878","26.478","29.028","32.154","33.37","34.618","37.794","37.861","37.931","39.432","44.44","47.233","48.097","50.446","52.682","55.344","60.378","62.877","63.087","64.627","67.498","72.648","76.649","82.635","85.688","85.903","86.106","88.038","89.857","93.614","95.878","95.33","100","105.39","111.5","118.09","123.31","126.68",
"서울특별시","02 주류 및 담배","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","23.144","23.877","24.172","24.587","25.682","26.86","27.682","28.872","30.562","33.741","34.252","37.548","40.185","42.209","45.1","45.637","48.041","51.574","53.095","53.479","61.579","61.528","61.728","62.051","62.697","62.954","63.327","64.176","65.183","64.989","96.145","97.095","98.483","98.722","99.493","100","100.67","102.87","104.08","105.14","105.4",
"서울특별시","03 의류 및 신발","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","34.316","35.1","36.201","38.897","43.598","47.635","50.37","53.352","54.729","55.726","56.27","56.8","57.615","59.847","61.24","62.193","63.918","65.841","68.266","68.613","69.272","71.107","72.977","74.784","78.548","80.828","83.462","87.294","89.771","93.402","94.916","96.573","97.476","98.508","99.076","100","100.66","103.8","110.64","114.37","116.7",
"서울특별시","04 주택, 수도, 전기 및 연료","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","29.316","30.107","30.84","31.944","33.446","36.458","40.809","43.506","46.01","47.951","50.327","52.499","54.949","58.539","56.433","58.025","61.999","64.942","68.021","70.347","71.314","73.097","74.88","77.643","79.515","81.411","84.945","89.037","92.441","95.463","95.737","95.486","97.528","98.215","99.355","100","101.48","105.62","109.88","111.2","113.07",
"서울특별시","05 가정용품 및 가사 서비스","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","44.371","45.506","47.132","49.939","53.271","57.057","60.139","61.698","62.701","65.325","65.777","67.263","67.877","71.632","70.683","68.83","70.017","70.184","71.59","72.742","73.064","73.205","75.159","78.123","81.801","81.727","84.369","88.347","88.323","89.479","91.507","92.995","94.07","97.105","99.793","100","101.75","106.41","112.55","115.05","118.93",
"서울특별시","06 보건","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","36.381","37.827","39.128","41.826","42.992","46.185","49.114","50.542","51.958","53.532","56.401","59.065","61.594","64.493","65.907","70.959","79.167","78.522","80.177","81.129","82.965","84.437","86.304","88.046","89.947","91.259","92.788","93.785","94.313","94.945","95.959","96.9","97.786","97.844","98.453","100","99.78","100.59","102.1","104.1","105.47",
"서울특별시","07 교통","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","26.111","26.583","27.214","28.569","29.196","29.865","33.424","36.336","39.238","41.86","44.235","47.782","52.921","61.931","63.535","66.703","69.544","70.516","73.551","76.563","80.192","83.38","86.815","93.759","90.918","95.015","100.495","104.921","104.687","103.445","98.352","97.919","100.507","102.201","101.522","100","104.64","112.55","111.89","114.66","115.83",
"서울특별시","08 통신","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","153.917","163.305","166.383","166.293","148.325","160.447","154.218","153.83","152.534","148.43","144.642","144.461","141.087","140.786","140.123","136.894","132.536","126.535","119.976","118.059","115.856","114.62","112.467","110.903","110.739","109.733","107.968","105.181","105.095","105.096","104.999","105.091","105.429","104.518","102.123","100","99.19","100.08","101.08","101.34","100.35",
"서울특별시","09 오락 및 문화","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","65.72","66.996","68.299","70.6","72.26","75.332","77.932","79.632","83.23","85.521","88.956","92.143","92.469","95.286","95.36","94.433","94.551","95.488","96.046","95.944","96.243","94.133","92.617","94.158","96.155","96.901","98.887","99.031","100.041","100.362","99.421","101.361","101.441","101.84","101.382","100","100.42","103.41","107.4","109.03","109.8",
"서울특별시","10 교육","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","18.301","18.951","20.055","22.049","23.871","27.274","30.372","33.084","36.23","39.597","44.953","49.225","51.783","53.173","53.716","56.362","59.171","62.721","66.596","70.668","73.722","77.254","81.714","85.694","87.445","89.441","91.184","92.197","93.028","94.891","96.884","98.509","99.842","101.295","101.923","100","101.09","102.81","104.82","106.96","109.29",
"서울특별시","11 음식 및 숙박","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","21.566","22.49","23.35","25.505","28.838","33.181","40.219","44.408","47.233","51.286","54.127","56.897","58.404","60.786","59.893","60.467","61.479","63.414","65.767","68.256","69.586","70.861","72.207","75.083","77.878","80.321","83.894","84.717","85.79","86.834","89.255","91.69","93.944","96.969","99.064","100","102.73","110.39","117.09","120.63","124.53",
"서울특별시","12 기타 상품 및 서비스","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","34.769","36.166","37.096","37.406","37.519","38.93","40.682","43.073","44.808","46.399","47.661","50.52","52.403","57.141","55.898","57.102","58.629","60.718","62.555","63.516","64.611","67.41","70.802","76.94","82.754","85.674","88.172","85.615","85.782","89.024","91.123","94.056","96.333","96.615","98.159","100","101.64","108.06","114.64","119.24","124.2",
"부산광역시","0 총지수","소비자물가지수[2020=100]","2020=100","9.487","10.901","11.905","13.439","15.837","20.471","24.665","26.503","27.406","27.998","28.768","29.47","30.202","32.323","34.407","37.076","40.679","43.593","45.453","48.592","50.756","53.466","56.258","60.678","61.478","62.71","65.291","66.963","69.366","71.462","73.441","75.063","76.906","80.547","82.996","85.55","89.363","91.502","92.852","94.019","94.807","95.929","97.639","99.343","99.824","100","102.46","107.35","111.33","114.12","116.62",
"부산광역시","01 식료품 및 비주류음료","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","19.388","19.797","20.328","22.429","24.093","26.587","29.553","31.429","32.116","35.957","37.231","38.307","40.926","45.434","47.597","47.581","50.344","52.604","55.031","58.679","60.209","60.535","63.029","66.175","71.966","76.783","82.816","86.624","88.064","87.745","89.09","91.141","93.511","96.718","96.993","100","105.91","111.75","117.46","122.49","126.71",
"부산광역시","02 주류 및 담배","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","21.876","22.472","22.788","23.102","24.265","25.697","27.011","28.835","30.232","32.73","33.598","36.664","38.747","41.404","44.385","44.697","46.906","50.656","51.81","52.555","60.453","60.318","60.468","60.66","61.214","61.38","62.009","63.001","64.177","64.071","97.92","98.296","99.867","99.944","100.178","100","100.7","103.21","104.05","105.12","105.26",
"부산광역시","03 의류 및 신발","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","35.013","35.447","36.019","37.143","42.525","46.681","49.568","52.94","53.909","55.111","56.169","56.942","58.093","60.649","61.58","62.507","64.445","66.409","68.804","68.883","69.527","71.26","73.138","74.894","78.77","81.164","83.876","87.908","90.442","94.102","95.295","96.845","98.159","99.414","99.314","100","100.57","103.68","110.57","114.31","116.58",
"부산광역시","04 주택, 수도, 전기 및 연료","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","34.929","35.854","36.62","38.166","39.132","40.719","45.343","48.994","51.308","53.188","55.165","58.742","61.638","65.826","64.3","66.214","69.331","70.032","72.47","74.496","75.957","77.736","78.742","82.458","82.217","84.414","88.579","93.361","96.973","99.062","96.979","96.029","97.294","98.364","99.66","100","100.97","105.56","110.71","112.88","114.26",
"부산광역시","05 가정용품 및 가사 서비스","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","41.003","42.261","43.98","46.464","49.41","50.693","53.785","56.538","59.402","60.982","62.728","63.816","64.323","68.36","68.318","67.638","68.889","70.428","72.434","72.688","73.342","73.354","75.823","79.478","83.445","84.776","87.108","89.129","89.333","91.052","93.823","95.067","96.5","97.977","100.019","100","102.04","107.08","112.99","115.15","118.05",
"부산광역시","06 보건","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","35.649","36.13","37.199","40.616","42.187","45.196","48.495","50.397","52.043","53.873","57.173","59.688","62.098","66.061","67.213","72.244","79.901","79.654","81.569","82.604","84.41","86.197","87.252","88.483","89.82","91.234","93.302","94.391","94.628","95.248","96.372","97.547","98.538","98.259","98.599","100","99.75","100.53","102.11","104.07","105.39",
"부산광역시","07 교통","소비자물가지수[2020=100]","2020=100","","","","","","","","","","","22.997","23.161","23.361","25.026","26.044","26.674","30.407","34.169","38.643","43.564","46.821","50.824","55.421","64.736","66.038","69.502","72.241","72.849","75.936","78.229","82.683","87.348","89.897","97.428","94.141","98.308","106.01","108.239","108.097","107.918","100.108","97.248","100.964","104.091","102.114","100","106.01","115.84","112.52","115.66","117.03",
